id,created_at,text
438379813707845632,2014-02-25 18:27:46,RT @crashlytics: Beyond a Facelift: Unveiling the New Crashlytics Real-Time Interface http://t.co/AbqG1SUrwm #androiddev #iosdev http://t.c…
438093367621087233,2014-02-24 23:29:32,RT @rchoi: Thx for the @github octo-swag! Pulled from the same @simonoxleee DNA! @Twitter &lt;3s @github @jeffsand @lizclink @rchoi http://t.c…
433288787674669056,2014-02-11 17:17:51,"RT @crashlytics: Faster, Better, Stronger. Introducing Crashlytics Optimized Stack Traces http://t.co/ARphYIpTZW #androiddev #iosdev http:/…"
431216327143858177,2014-02-06 00:02:38,Twitter Data Grants: A pilot program to give researchers access to public and historical data. Learn more https://t.co/KeI2YtGAdi
430776271723708416,2014-02-04 18:54:01,How eBay uses Cards and Twitter Card analytics: https://t.co/b7cxO0RrMp
426418815212060672,2014-01-23 18:19:02,Introducing analytics for Twitter Cards: https://t.co/2EUxRISD2a
422807297048326144,2014-01-13 19:08:09,"Tomorrow (Jan 14, 2014) all requests to http://t.co/JJ1WIaJkjK will be restricted to SSL only. Read more: https://t.co/5bffaNC1i5"
421688035701309440,2014-01-10 17:00:36,"Important: On Jan 14, 2014 all requests to http://t.co/JJ1WIaJkjK will require SSL &amp; disallow plaintext connections https://t.co/5bffaNC1i5"
420302564605702144,2014-01-06 21:15:14,"Update: We are removing HTTP 1.0 support for the remaining Streaming API endpoints on Mon., Jan. 13. More details: https://t.co/JfieFem8Kf"
420270348118929408,2014-01-06 19:07:13,"Note: A ""blackout test"" will be performed tmw btw 11am-1pm PST, and HTTP plaintext connections will be unavailable. https://t.co/5bffaNC1i5"
420232572098985985,2014-01-06 16:37:07,Reminder: We are deploying a fix to Tweet Entities for Retweets today. Read more about the change: https://t.co/GMIk4lnXjs
412739277873610752,2013-12-17 00:21:26,"If a user has granted your app direct message read access, OAuth can be used to display any uploaded media: https://t.co/BIjdJ8J637"
412621381872799746,2013-12-16 16:32:58,"Important: On Jan 14, 2014 all requests to http://t.co/JJ1WIaJkjK will require SSL &amp; disallow plaintext connections. https://t.co/5bffaNC1i5"
411519892819423232,2013-12-13 15:36:02,"Developers in Brazil can keep abreast of @twitterapi news by following @TwitterDevBr, our new Portuguese account managed by @lfcipriani!"
410559388064051200,2013-12-10 23:59:20,We upgraded the SSL certificate on http://t.co/JJ1WIaJkjK today as planned. More info on this G3 certificate here: https://t.co/V4K1qHVZe9
410434107806461952,2013-12-10 15:41:31,Unicode spaces (not only ASCII spaces) are now word separators while tracking keywords with statuses/filter. Try it: https://t.co/hUMpNCWmyi
407596218080968704,2013-12-02 19:44:45,"We'll be testing a new SSL certificate on http://t.co/JJ1WIaJkjK tomorrow (2013-12-03), from ~19:30 to ~21:00 UTC: https://t.co/QIs9anpNC3"
407568039324815360,2013-12-02 17:52:47,Hi developers! This is a reminder that we're retiring the POST geo/place API method today. Details: https://t.co/AM6JPnFzjz
405037622424113152,2013-11-25 18:17:49,Twitter List IDs will become 64-bit integers in early 2014 https://t.co/hGtdhrXLFe
402900146876194816,2013-11-19 20:44:15,"The Twitter REST API's SSL certificates will update on Dec 10th, 2013. More information: https://t.co/V4K1qHVZe9"
400324103397064704,2013-11-12 18:07:58,"Introducing custom timelines, a new type of timeline that you control. https://t.co/r7Yf2ufCbn"
397757336275542016,2013-11-05 16:08:33,"Here are some tips on integrating Twitter Cards with popular content tools like @WordPress, @Blogger, and @tumblr: https://t.co/obIuXMUyIn"
395595898933092353,2013-10-30 16:59:46,"We're rectifying a long-standing quirk with entities in retweet objects on Jan 6, 2014: https://t.co/GMIk4lnXjs"
394872460039843840,2013-10-28 17:05:05,"The v1.1 REST API's POST geo/place method is being deprecated &amp; will retire on Dec 2nd, 2013. Read more: https://t.co/AM6JPnFzjz"
393401468171997184,2013-10-24 15:39:53,@ParkInnBelfast you should contact @support through https://t.co/efeRNOI8qk
392312963077378048,2013-10-21 15:34:33,"Effective today, all new Twitter user IDs will exceed the threshold for 32-bit integers. Read more: https://t.co/v9TtlwuWzb"
387274745260937216,2013-10-07 17:54:29,Reminder: Twitter User IDs will become 64-bit integers soon. Make sure your software &amp; infrastructure are prepared. https://t.co/r5MTaLVAWA
385829500480520192,2013-10-03 18:11:35,RT @crashlytics: The wait is over. Experience the award-winning Crashlytics. Now for Android Studio. http://t.co/NlwQZ4mt8d #androiddev
